Variable,Early_Effect,Early_p,Late_Effect,Late_p,Delta,Zone,Model
sen_temp,0.009850530663693843,0.26809644671005406,0.0300103787327483,1.3273079912041357e-4,0.020159848069054458,Intermediate,M5
mean_Q,0.006009631207577785,0.49894279235758804,-0.031822417075504185,0.0029683194666364028,-0.03783204828308197,Intermediate,M5
mean_organic,-0.008868475278818753,0.32312374171914715,0.01983693316032087,0.04595690071945597,0.028705408439139622,Intermediate,M5
mean_salinity,-0.017499981854697984,0.11509351202877492,-0.008401598713460731,0.394470976698035,0.009098383141237253,Intermediate,M5
HFP_period,-0.008072287719633506,0.5209449910508308,0.008620992215474532,0.4258612827964277,0.016693279935108038,Intermediate,M5
elevation,-0.006363853660324356,0.5546664379382311,-0.0234262165244926,0.01633412662790808,-0.01706236286416824,Intermediate,M5
mean_temp,0.14366738315625247,2.212732900431875e-6,-0.08247275521974856,0.004201573394766913,-0.22614013837600103,Intermediate,M6
sen_temp,0.010320554927729576,0.24617081058232934,0.02913483462556121,2.141998042722895e-4,0.018814279697831632,Intermediate,M6
mean_Q,0.004172587844976607,0.6433092704682921,-0.03373147353424514,0.0017749856234528566,-0.03790406137922175,Intermediate,M6
mean_organic,-0.007223377365004617,0.42376751659732453,0.021737839566303544,0.030231455700130864,0.02896121693130816,Intermediate,M6
mean_salinity,-0.01683437709138002,0.1297254148247673,-0.007806580222673477,0.42907868330309784,0.009027796868706542,Intermediate,M6
HFP_period,-0.007026234896726341,0.5791523733584553,0.00992435270295965,0.36574471947448567,0.01695058759968599,Intermediate,M6
elevation,-0.004525568246121801,0.723157404036511,-0.022652684188268806,0.04795315656104207,-0.018127115942147005,Intermediate,M6
mean_temp,0.17346142522980731,1.6801490892943814e-5,0.1436370427020301,2.801801071010057e-5,-0.02982438252777722,Warm,M1
sen_temp,0.03253157844090653,8.206607462867227e-4,0.08981745567739893,2.0764126220414804e-17,0.0572858772364924,Warm,M1
mean_Q,-0.03982252296640677,0.0016607162451746174,0.013899158899998293,0.237932771084744,0.053721681866405066,Warm,M1
mean_organic,0.04176227650575061,0.015112372554978767,-0.03021631850451006,0.02858328105922204,-0.07197859501026067,Warm,M1
mean_salinity,-0.030052536129331685,0.006097793442247506,0.013615913282274473,0.06768177288605218,0.04366844941160616,Warm,M1
HFP_period,-0.012182071898719735,0.32886892085798003,-0.020713917567403834,0.04087461678564404,-0.008531845668684099,Warm,M1
elevation,0.04639045002757434,0.002331871401444767,0.01900148387267522,0.1744627340087259,-0.02738896615489912,Warm,M1
mean_temp,0.1687270182932886,3.0528501477748775e-4,0.14390073913660076,3.641464817111817e-4,-0.024826279156687836,Warm,M2
sen_temp,0.03310729900021228,0.0013121809796963354,0.08314997108167596,1.2721783600043287e-13,0.05004267208146368,Warm,M2
mean_Q,-0.04432083657797678,0.0043257889786493305,0.012571660699828987,0.388379766745812,0.056892497277805765,Warm,M2
mean_organic,0.053606621819555174,0.007036842837998644,-0.0293697222244804,0.06628409216993819,-0.08297634404403557,Warm,M2
mean_salinity,-0.0313159201966758,0.010738078230040944,0.012956074119351506,0.13009228023380265,0.044271994316027304,Warm,M2
HFP_period,-0.018976001850161066,0.19730881264753405,-0.024619113074044165,0.03912411893285562,-0.005643111223883099,Warm,M2
elevation,0.03445010072273664,0.04475975649577394,0.010222138253252055,0.5161671056541124,-0.024227962469484582,Warm,M2
mean_temp,0.16926601536752578,2.4724072296202644e-5,0.14021866937362917,3.950412019056279e-5,-0.029047345993896606,Warm,M3
sen_temp,0.03268569727438677,7.753625421683453e-4,0.08917165935319069,3.508466752468273e-17,0.056485962078803915,Warm,M3
mean_Q,-0.039341322492531645,0.0018746760376255334,0.014060644608270589,0.23212934693179432,0.053401967100802236,Warm,M3
mean_organic,0.04038905918803875,0.01878766760795034,-0.03116583739862333,0.02405592459752527,-0.07155489658666209,Warm,M3
mean_salinity,-0.030099158652157218,0.006012233499665488,0.013609087216655059,0.06778058006250709,0.04370824586881228,Warm,M3
HFP_period,-0.013623328526877759,0.27566308537517936,-0.021943401031449455,0.030750632311725545,-0.008320072504571696,Warm,M3
elevation,0.04288352283426828,0.00481700606240924,0.015387582638613711,0.27026573216658095,-0.02749594019565457,Warm,M3
mean_temp,0.16327406218843246,4.2557153090051547e-4,0.139339027590727,4.889382340775021e-4,-0.023935034597705462,Warm,M4
sen_temp,0.03313320568988825,0.0012955018570518044,0.08231335021215043,2.2242435712400335e-13,0.04918014452226218,Warm,M4
mean_Q,-0.04356516345074341,0.004908188622903847,0.012969935709074915,0.37188287484202853,0.05653509915981833,Warm,M4
mean_organic,0.05115679569034927,0.010062041977247192,-0.03107217945821969,0.05202128101667331,-0.08222897514856896,Warm,M4
