Variable,Early_Effect,Early_p,Late_Effect,Late_p,Delta,Zone,Model
sen_temp,-0.00102217318216147,0.9120423153393631,0.0070258280437693055,0.12321626122990026,0.008048001225930775,All,M5
mean_Q,0.0011938313240250262,0.7785686674728615,-0.013325370190918224,0.0061996314205847326,-0.01451920151494325,All,M5
mean_organic,-0.005799281502236504,0.3097287716104465,-0.015621595378670628,0.0074038983268218325,-0.009822313876434124,All,M5
mean_salinity,0.0025857776909245685,0.646753563908294,0.005740964788640627,0.2169178533848161,0.0031551870977160586,All,M5
HFP_period,-4.622349550847083e-6,0.9993981625127618,-0.005573799588978684,0.29705537896012335,-0.005569177239427838,All,M5
elevation,0.004362422132589628,0.4002252269171272,-0.0056532456738744435,0.22793566016876868,-0.010015667806464072,All,M5
mean_temp,0.029651775047846024,2.0211300203749197e-4,-0.005314111782033849,0.4983557055131034,-0.034965886829879875,All,M6
sen_temp,-0.0025645647307410958,0.7835096507872727,0.007250535528303173,0.11664816998636757,0.009815100259044269,All,M6
mean_Q,0.0015937402072053722,0.7100825873161161,-0.012842329735271047,0.00900211236939768,-0.014436069942476419,All,M6
mean_organic,-0.0069298733640183185,0.22957425765316217,-0.016973621288282045,0.004665116805954379,-0.010043747924263727,All,M6
mean_salinity,0.002437635760181959,0.6656063568384494,0.005337916005821416,0.2515263966605711,0.002900280245639457,All,M6
HFP_period,-0.0024516233325499607,0.6939812113959254,-0.007574015789587915,0.16465337953780995,-0.005122392457037954,All,M6
elevation,0.005466893692292868,0.32014876629887706,-0.004995493849247718,0.3140520805510172,-0.010462387541540587,All,M6
mean_temp,0.004505511525230528,0.8898859689832956,0.011922727808149599,0.6803208599536084,0.007417216282919071,Cold,M1
sen_temp,0.02040098545045379,0.4032897480365548,0.012844296630559643,0.2765921558044112,-0.007556688819894146,Cold,M1
mean_Q,-0.018061579707987777,0.05093024213398515,-0.010243726664326073,0.23613182840717964,0.007817853043661704,Cold,M1
mean_organic,-0.9887602819774881,0.004866886333931822,-0.13074890710043352,0.6375052659230336,0.8580113748770546,Cold,M1
mean_salinity,0.4439065882423889,0.03189825575352746,0.19729310772217354,0.2603868729328468,-0.24661348052021534,Cold,M1
HFP_period,-0.0012241576951498802,0.9109653286072754,-0.002998302180886424,0.7857372228649302,-0.0017741444857365437,Cold,M1
elevation,0.005595831817355385,0.5259363627558391,-0.003644256309553352,0.6668592412795954,-0.009240088126908737,Cold,M1
mean_temp,0.005239039999503549,0.8722545134080162,0.01212418791126594,0.6761861608111666,0.00688514791176239,Cold,M2
sen_temp,0.02071349382359333,0.39434503739570226,0.011826934721193835,0.3147728905433752,-0.008886559102399494,Cold,M2
mean_Q,-0.018083094008686112,0.05073938062074018,-0.01019971961810051,0.2383806027477596,0.007883374390585602,Cold,M2
mean_organic,-1.0052212881824327,0.004146912813846174,-0.13154023701248382,0.6357119139746701,0.8736810511699489,Cold,M2
